system1	system2	system3	speed
0.09879913098559001	0.0	0.001376340191380887	80
0.0923735985055667	0.003958511426663147	0.0005859027718901899	81
0.0861547139925638	0.008179532729318373	0.00012632368992981924	82
0.08014347030070423	0.012665460962465236	0.0	83
0.07434086198611145	0.01741869318060374	0.00020932875659984695	84
0.06874788528649578	0.022441626438232776	0.000756707014228919	85
0.06336553810122036	0.027736657789852015	0.0016445318273867748	86
0.05819481997183451	0.03330618428996068	0.0028752002505723073	87
0.05323673206305579	0.03915260299305823	0.004451109338285297	88
0.048492277144183804	0.04527831095364432	0.006374656145025082	89
0.043962459570935364	0.05168570522621818	0.008648237725291441	90
0.0396482852676836	0.058377182865279154	0.011274251133583046	91
0.035550761710089196	0.06535514092532702	0.014255093424400123	92
0.03167089790810973	0.07262197646086088	0.017593161652241562	93
0.028009704389378998	0.08018008652638042	0.02129085287160759	94
0.02456819318293646	0.08803186817638498	0.025350564136996656	95
0.02134737780330509	0.09617971846537365	0.029774692502908318	96
0.01834827323490007	0.10462603444784657	0.0345656350238428	97
0.015571895916761669	0.11337321317830273	0.039725788754298996	98
0.013019263727597652	0.12242365171124125	0.0452575507487758	99
0.010691395971136775	0.13177974710116214	0.051163318061773655	100
0.008589313361766049	0.1414438964025646	0.05744548774779146	101
0.006714038010464218	0.15141849666994822	0.06410645686132899	102
0.005066593411003462	0.1617059449578122	0.07114862245688558	103
0.0036480044264266542	0.17230863832065568	0.07857438158895969	104
0.0024592972757844223	0.18322897381297865	0.08638613131205197	105
0.0015014995211222182	0.19446934848928055	0.09458626868066133	106
0.0007756400547200837	0.2060321594040604	0.10317719074928755	107
0.0002827490865671134	0.21791980361181806	0.11216129457242974	108
2.3858132072396288e-05	0.2301346781670528	0.12154097720458745	109
0.0	0.24267918012426337	0.1313186357002596	110
0.0002122087806275541	0.25555570653795034	0.14149666711394637	111
0.0006615198341162198	0.2687666544626124	0.15207746850014714	112
0.0013489697790896038	0.2823144209527495	0.16306343691336123	113
0.002275596481419173	0.29620140306286047	0.17445696940808753	114
0.0034424390432030716	0.3104299978474452	0.18626046303882582	115
0.004850537791942111	0.325002602361003	0.1984763148600761	116
0.006500934269897174	0.3399216136580331	0.21110692192633707	117
0.008394671223637573	0.3551894287930355	0.2241546812921087	118
0.010532792593758833	0.3708084448205089	0.23762199001188966	119
0.012916343504782768	0.38678105879495317	0.2515112451401804	120
0.015546370255218322	0.4031096677708672	0.26582484373147874	121
0.018423920307796715	0.41979666880275124	0.280565182840286	122
0.02155004227985735	0.4368444589451044	0.2957346595211008	123
0.02492578593389938	0.45425543525242595	0.3113356708284223	124
0.028552202168282692	0.47203199477921565	0.3273706138167505	125
0.032430343008077234	0.49017653457997223	0.3438418855405837	126
0.03656126159606421	0.5086914517091962	0.3607518830544232	127
0.04094601218387073	0.5275791432213861	0.3781030034127669	128
0.045585650123251664	0.5468420061710415	0.3958976436701147	129
0.05048123185750342	0.5664824376126617	0.41413820088096576	130
